Name,San Francisco Bay herring,
maxage,18,
R0,1000,
M,0.216,0.324
Msd,0,0.1
Mgrad,-0.1,0.1
h,0.4,0.95
SRrel,1,
Linf,211,228
K,0.517,0.596
t0,0,0
Ksd,0.04,0.06
Kgrad,-2.5,0
Linfsd,0.02,0.03
Linfgrad,-0.01,0.01
recgrad,0,7
a,0.000004118,
b,3.244,
D,0.1,0.4
L50,144.7,168.5
L50_95,17.58,25.92
Perr,0.8,1
AC,0.6,0.9
Period,,
Amplitude,,
Size_area_1,0.5,0.5
Frac_area_1,0.5,0.5
Prob_staying,0.5,0.5
Source,"Stock assessment and evaluation of harvest control rules for San Francisco Bay Herring. 2016. Roel, B.A., Walker, N.D., De Oliveira, J.A.A.",
