Name,Darnley Bay Char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyears,46,,1969-2013 Modelling document,Historical years of fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spat_targ,1,1,Not currently used in v3.2.2,Spatial targetting of the fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fsd,0,0,Don't need this as we have annual F estimates,Extra-EffLower/EffUpper trend interannual variability in effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qinc,-0.1,0.1,Minor changes in fishing efficiency as per stock assessment,% yr-1 changes in catchability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qcv,0.05,0.1,A guess at the possible variability in fishing efficiency among years (F E-1),Interannual variability in catchability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffYears,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
EffLower,0.207407407,0.272222222,0.272222222,0.272222222,0.285185185,0.414814815,0.259259259,0.440740741,1.011111111,1.082407407,1.374074074,1.27037037,1.814814815,0.751851852,2.177777778,1.516666667,1.931481481,0.82962963,0.518518519,1.114814815,1.114814815,0.881481481,0.803703704,0.816666667,0.725925926,1.011111111,1.944444444,1.296296296,1.140740741,1.062962963,0.849074074,0.725925926,0.777777778,0.563888889,0.589814815,0.777777778,0.414814815,1.062962963,0.537962963,0.259259259,0.648148148,0.362962963,0.337037037,0.356481481,0.453703704
EffUpper,0.385185185,0.505555556,0.505555556,0.505555556,0.52962963,0.77037037,0.481481481,0.818518519,1.877777778,2.010185185,2.551851852,2.359259259,3.37037037,1.396296296,4.044444444,2.816666667,3.587037037,1.540740741,0.962962963,2.07037037,2.07037037,1.637037037,1.492592593,1.516666667,1.348148148,1.877777778,3.611111111,2.407407407,2.118518519,1.974074074,1.576851852,1.348148148,1.444444444,1.047222222,1.09537037,1.444444444,0.77037037,1.974074074,0.999074074,0.481481481,1.203703704,0.674074074,0.625925926,0.662037037,0.842592593
SelYears,NA,,"Not specified, constant selectivity",Years corresponding with shifts in selectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbsSelYears,NA,,"Not specified, constant selectivity",Labels for years (graphing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5,450,490,Based on Figure 7 Page 39 of Biological document ,Length at 5% vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFS,580,620,Based on Figure 7 Page 39 of Biological document ,Length at full selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vmaxlen,0.95,0.95,,Vulnerability of longest fish (dome shapedness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5Lower,NA,,,Time varing length at 5% vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5Upper,NA,,,Time varing length at 5% vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFSLower,NA,,,Time varying length at full  vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFSUpper,NA,,,Time varying length at full  vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VmaxLower,NA,,,Time varying vulnerability of longest fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VmaxUpper,NA,,,Time varying vulnerability of longest fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isRel,0,,,Is vulnerability parameterized in terms of a fraction of length at maturity (isRel =1) or in absolute terms (e.g. cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
