Name,San Francisco Bay herring fleet,,,,,,,,,,,,,,,,,,,
nyears,22,,,,,,,,,,,,,,,,,,,
Spat_targ,1,1,,,,,,,,,,,,,,,,,,
Fsd,0,0,,,,,,,,,,,,,,,,,,
qinc,-0.1,0.1,,,,,,,,,,,,,,,,,,
qcv,0.05,0.1,,,,,,,,,,,,,,,,,,
EffYears,1,2,3,4,5,6,7,8,9,10,11,13,14,15,17,18,19,20,21,22
EffLower,0.061,0.038,0.069,0.085,0.175,0.046,0.061,0.079,0.057,0.055,0.02,0.003,0.004,0.005,0.009,0.002,0.013,0.008,0.008,0.011
EffUpper,0.16,0.101,0.152,0.198,0.453,0.185,0.24,0.37,0.343,0.364,0.156,0.008,0.017,0.009,0.084,0.005,0.096,0.043,0.045,0.062
SelYears,NA,,,,,,,,,,,,,,,,,,,
AbsSelYears,NA,,,,,,,,,,,,,,,,,,,
L5,146.7,170.1,,,,,,,,,,,,,,,,,,
LFS,195.1,211,,,,,,,,,,,,,,,,,,
Vmaxlen,1,1,,,,,,,,,,,,,,,,,,
L5Lower,NA,,,,,,,,,,,,,,,,,,,
L5Upper,NA,,,,,,,,,,,,,,,,,,,
LFSLower,NA,,,,,,,,,,,,,,,,,,,
LFSUpper,NA,,,,,,,,,,,,,,,,,,,
VmaxLower,NA,,,,,,,,,,,,,,,,,,,
VmaxUpper,NA,,,,,,,,,,,,,,,,,,,
isRel,0,,,,,,,,,,,,,,,,,,,
