ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear1_2014,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear2_2014,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear3_2014,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013,ft1_gear4_2014,ft1_gear5_1996,ft1_gear5_1997,ft1_gear5_1998,ft1_gear5_1999,ft1_gear5_2000,ft1_gear5_2001,ft1_gear5_2002,ft1_gear5_2003,ft1_gear5_2004,ft1_gear5_2005,ft1_gear5_2006,ft1_gear5_2007,ft1_gear5_2008,ft1_gear5_2009,ft1_gear5_2010,ft1_gear5_2011,ft1_gear5_2012,ft1_gear5_2013,ft1_gear5_2014
0.0996649,0.0658191,0.0722447,0.0809881,0.0895751,0.139414,0.0978358,0.0956228,0.12142,0.287701,0.0923573,0.0799041,0.061385,0.0356947,0.0201903,0.0599841,0.0678418,0.0964783,0.127139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144252,0.0991894,0.108763,0.13937,0.153243,0.2448,0.170392,0.155407,0.201524,0.456453,0.172112,0.143537,0.108594,0.0634764,0.0338982,0.0999805,0.113457,0.166392,0.224648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095022,0.0618338,0.0698668,0.0787042,0.0882942,0.135012,0.0894111,0.0910689,0.10922,0.264248,0.0780384,0.0628003,0.0519197,0.0280496,0.0168132,0.0522682,0.0568235,0.0832324,0.106942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129819,0.0760468,0.0893871,0.106724,0.106031,0.161139,0.111528,0.0976741,0.122623,0.303688,0.0991989,0.0892238,0.0693066,0.0376203,0.0209138,0.0627778,0.0709151,0.102788,0.146366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0786909,0.0513307,0.0602715,0.0673135,0.0709001,0.110315,0.0830832,0.0757206,0.0950125,0.240275,0.0743969,0.0625278,0.0506668,0.0290291,0.0168625,0.055831,0.0553516,0.0847125,0.0996541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156469,0.0988432,0.102314,0.113662,0.130184,0.175354,0.117179,0.116298,0.147375,0.376318,0.110063,0.0942521,0.0734312,0.0447438,0.0255323,0.0883219,0.0932686,0.122129,0.170072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.167586,0.102979,0.103185,0.128502,0.126993,0.204136,0.145621,0.149428,0.194029,0.431458,0.145097,0.134274,0.107634,0.0598398,0.0304476,0.102144,0.108375,0.165313,0.212346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0943551,0.0610805,0.0647487,0.0739601,0.0925593,0.160516,0.105477,0.121077,0.130902,0.306046,0.0924285,0.0902681,0.0664844,0.03849,0.0222452,0.0664691,0.0826716,0.100719,0.153622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0773732,0.0523632,0.0544287,0.069677,0.0760762,0.113759,0.0904139,0.0794539,0.108016,0.264182,0.090261,0.0744215,0.0604808,0.0295082,0.0166025,0.0534838,0.0626542,0.0918439,0.100691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111699,0.0730351,0.0804146,0.0901049,0.0945505,0.151424,0.108936,0.0978504,0.134806,0.314323,0.105127,0.0916109,0.0740828,0.0390935,0.0234526,0.0691967,0.0776381,0.120836,0.155998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0939632,0.0682661,0.0807598,0.0902944,0.0968642,0.142553,0.105962,0.110294,0.145965,0.365887,0.115367,0.11647,0.0723898,0.0465282,0.0284508,0.0728363,0.080252,0.118703,0.184236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
