ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
0.693926,0.916106,0.328384,0.474339,0.211331,0.0588235,1.47059, 534.422, 117.107, 78.221, 30.7875, 1,0.128165,0.11644,0.107467,0.0937172,299.864,9.40536,0.927401,11.1433,2.19544,9,0.5,9.00442,1.39629,9.25048,1.10167,112.579
0.178281,0.991144,0.259173,0.151489,0.0512061,0.0588235,1.47059, 251.286, 49.4112, 31.056, 18.8738, 1,0.263549,0.204429,0.208078,0.170385,145.377,9.1785,0.928914,11.8481,2.55846,9,0.5,9.15216,1.51117,9.25306,1.20948,145.462
0.780897,0.835131,0.344498,0.570275,0.228743,0.0588235,1.47059, 528.051, 131.683, 75.3914, 29.6476, 1,0.129837,0.117944,0.126226,0.0824166,318.65,9.22512,0.832218,11.8751,2.35954,9,0.5,10.2029,1.58239,9.23758,1.104,145.636
0.559578,0.771354,0.310481,0.417541,0.166927,0.0588235,1.47059, 500.103, 143.954, 57.9501, 12.0188, 0.999994,0.0654051,0.107261,0.081756,0.0921165,291.545,10.2127,1.09482,8.55909,1.92508,9,0.5,8.31196,1.31987,9.68589,1.22285,154.415
0.663412,0.746574,0.33665,0.506443,0.251857,0.0588235,1.47059, 477.736, 137.254, 59.3225, 9.67755, 0.999937,0.182871,0.100841,0.100859,0.0827306,311.072,9.15479,0.925989,13.368,2.52393,9,0.5,9.19042,1.51324,9.12502,1.09172,149.437
0.278233,0.835424,0.270444,0.186362,0.0683418,0.0588235,1.47059, 353.362, 94.167, 38.9717, 7.85109, 0.999611,0.248949,0.169388,0.145575,0.114762,170.624,9.18775,0.91776,12.9342,2.68171,9,0.5,8.80253,1.56605,8.70098,1.15569,151.099
0.39017,0.951743,0.307315,0.260563,0.109468,0.0588235,1.47059, 358.179, 75.6141, 49.857, 30.3256, 1,0.205902,0.155018,0.137256,0.143077,199.567,10.0177,1.05766,12.3039,2.66058,9,0.5,8.62624,1.29372,9.58265,1.16665,150.525
0.473765,0.8442,0.33551,0.457943,0.196186,0.0588235,1.47059, 344.321, 86.3304, 47.4826, 17.1624, 1,0.133566,0.123873,0.150523,0.128255,264.04,9.3496,0.961534,11.0093,2.32006,9,0.5,9.66944,1.37295,9.86402,1.16791,158.295
0.858784,0.788087,0.339683,0.539812,0.211884,0.0588235,1.47059, 603.516, 164.357, 79.207, 14.4408, 0.999999,0.110937,0.0961494,0.0838334,0.0803448,323.574,9.4374,0.96036,11.1065,2.25108,9,0.5,8.39276,1.24183,9.06373,1.09764,148.599
0.554634,0.842913,0.303612,0.322342,0.10889,0.0588235,1.47059, 525.486, 134.691, 65.6, 11.7765, 0.999992,0.176644,0.140703,0.144937,0.117394,266.22,9.08925,0.90468,11.9587,2.51847,9,0.5,9.41989,1.64436,9.34262,1.20156,149.487
