rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014
-0.54133,-0.431292,-0.611034,-0.109366,0.0519842,-0.0358445,-0.127802,-0.125509,-0.333158,-0.521242,-0.189853,-0.382979,-0.0408437,-0.173561,0.186579,0.228778,1.22912,-0.0563767,1.98373
-0.571416,-0.559503,-0.507457,-0.165892,0.00779771,-0.18641,-0.0338877,-0.235317,-0.423209,-0.690872,-0.0463393,-0.585916,-0.123643,-0.0457585,-0.35883,0.0275398,1.79109,-0.125936,2.81622
-0.511691,-0.404235,-0.649478,0.0593638,0.285553,0.111717,-0.0226472,0.032394,-0.289523,-0.535156,-0.37785,-0.433352,0.0353441,-0.172287,0.0148001,0.414547,0.587337,-1.06719,2.87294
-0.553226,-0.253594,-0.506906,-0.136757,0.106784,0.138196,0.159734,-0.18106,-0.604957,-0.721019,-0.341558,-0.357154,-0.310616,0.0779393,0.108039,-0.443296,1.51213,0.0594306,2.21235
-0.551611,-0.537765,-0.332899,0.210684,-0.200077,0.252584,-0.207931,-0.0578879,-0.388356,-0.414744,0.0919594,-0.318912,-0.229387,-0.199231,0.356841,0.0864897,0.916894,-0.441299,1.97978
-0.308415,-0.498044,-0.324219,0.148299,0.0943949,-0.00851432,-0.247797,-0.101107,-0.162925,-0.905172,-0.193463,-0.58581,0.0760214,-0.0459137,-0.123681,-0.369251,1.22281,0.0424741,2.2318
-0.36462,-0.435338,-0.463448,0.253263,0.300403,-0.110035,-0.0550984,0.00228343,-0.343058,-0.564588,-0.195986,-0.634336,0.17884,0.275693,0.300693,-0.147546,0.442442,-0.242786,1.80027
-0.141391,-0.38594,-0.591454,-0.19631,-0.0265468,-0.0696403,-0.147883,-0.181329,-0.547168,-0.411041,-0.184021,-0.107986,-0.181587,-0.0896412,-0.600363,0.553643,1.01566,-0.068289,2.36473
-0.498809,-0.566558,-0.863813,-0.037419,0.175859,0.150791,0.0294847,0.0867879,-0.485323,-0.598972,-0.181655,-0.375886,0.10108,-0.120491,-0.0129361,0.159775,1.24621,-0.726411,2.52962
-0.641078,-0.432554,-0.682157,-0.123746,-0.304626,0.0683064,-0.279051,-0.182068,-0.343629,-0.864542,-0.384064,-0.33239,0.313215,0.228537,0.0645817,0.876546,1.33389,-0.447292,2.14769
-0.296174,-0.421627,-0.471662,-0.0853305,0.00320024,0.0962834,0.0651456,-0.0454615,0.0312237,-0.584231,-0.167321,-0.582585,-0.155501,-0.294247,-0.16653,0.217908,0.730761,0.679828,1.44723
-0.553324,-0.610727,-0.576653,-0.317007,0.0226639,-0.170963,-0.113126,-0.0317945,-0.581302,-0.193328,0.0666414,-0.586508,-0.138021,0.130126,0.142429,0.605749,0.853009,0.13552,1.91039
-0.488743,-0.376384,-0.809191,-0.108334,-0.088685,-0.300582,-0.237665,-0.449737,-0.44946,-0.473327,-0.202603,-0.459835,0.313591,-0.303769,0.0923314,0.537818,1.42573,-0.387757,2.77439
-0.473035,-0.415933,-0.667437,-0.174426,0.134885,-0.110434,-0.147224,-0.026977,-0.156629,-0.587723,-0.434813,-0.207929,-0.137805,-0.0967237,-0.0870107,0.671014,1.30905,-0.0883332,1.71109
-0.322621,-0.404214,-0.7875,-0.216479,0.129766,0.0492437,-0.223453,-0.176214,-0.1576,-0.369647,-0.523559,-0.360115,-0.411093,-0.209362,0.398684,0.234308,1.11753,0.144413,2.1102
-0.284013,-0.504463,-0.379081,-0.184502,0.164555,0.0124624,-0.169021,-0.270739,-0.195821,-0.360385,-0.242309,-0.253573,-0.122572,-0.0926762,-0.116025,0.258953,1.09683,-0.23579,1.87146
-0.709775,-0.60478,-0.764241,-0.106788,0.10622,-0.119627,-0.393034,-0.0832817,-0.303157,-0.663492,-0.122827,-0.336078,0.155807,0.11936,-0.142324,0.146126,1.87151,0.155987,1.77511
-0.319378,-0.637456,-0.565046,0.0517955,0.0278435,-0.222607,-0.105574,0.00794329,-0.5889,-0.450948,-0.492237,-0.635929,0.399607,-0.0833806,0.120057,0.0156579,1.33614,-0.345837,2.47947
-0.621267,-0.545174,-0.771081,-0.0991235,-0.0342933,-0.0378693,-0.0431995,-0.23383,-0.270268,-0.600018,-0.165155,-0.307043,0.0147262,-0.142677,0.487299,0.212489,1.0444,-0.0567706,2.17823
-0.503693,-0.374994,-0.499173,0.0419853,0.23263,0.0704494,0.102955,-0.20896,-0.308237,-0.563525,0.0431027,-0.605357,-0.0662357,-0.17005,0.260258,0.295608,0.87128,-0.298251,1.61863
-0.76408,-0.650027,-0.641946,0.0576905,0.0997393,-0.147342,0.0239478,-0.22509,-0.287275,-0.269049,0.162665,-0.228053,-0.574445,-0.0905112,-0.00317862,-0.103429,1.43992,0.337402,1.83113
-0.371379,-0.485687,-0.346259,0.0535186,0.192269,0.0851034,-0.188801,0.104943,-0.703191,-0.327359,-0.0811556,-0.668653,-0.0754729,-0.35764,-0.174082,0.277993,0.95401,0.426982,1.67435
-0.469164,-0.362867,-0.723784,-0.0842608,-0.16058,0.0948677,0.123819,-0.217891,-0.68921,-0.516201,0.181862,-0.314359,0.102638,-0.154877,0.83337,-0.419769,0.927707,0.424873,1.38592
-0.636743,-0.586209,-0.612392,-0.263575,-0.224855,-0.192941,-0.372651,-0.256391,-0.531021,-0.579247,-0.21443,0.143421,-0.063838,-0.117752,0.208982,0.329165,1.44329,-0.162328,2.71938
-0.223636,-0.104076,-0.649591,-0.454939,0.0218859,0.103837,-0.171655,0.0808642,-0.526182,-0.448381,-0.486833,-0.441499,-0.386801,-0.40981,0.394647,0.130362,1.46406,-0.234815,2.33607
-0.860558,-0.52439,-0.78409,-0.648249,-0.359991,-0.302909,-0.305721,-0.194039,-0.10929,-0.508718,-0.44891,-0.674177,-0.137837,-0.15615,0.630855,0.885872,1.82619,0.262169,2.40683
-0.388496,-0.08076,-0.820989,-0.406254,-0.0673185,0.183294,-0.262645,0.311857,-0.19724,-0.210397,-0.0574775,-0.182979,-0.010167,-0.147316,0.254527,-0.0304331,1.43648,-0.343559,0.999307
-0.710883,-0.778228,-0.64776,-0.515084,0.206124,-0.347657,-0.0290938,-0.169288,-0.630311,-0.795633,-0.00100544,-0.157211,0.0462199,-0.0247249,-0.0417326,0.325637,1.49746,0.238611,2.57022
-0.565385,-0.380646,-0.633888,-0.174396,-0.0803125,-0.212108,-0.355218,-0.400215,-0.333664,-0.831629,-0.236764,-0.0431102,0.384388,0.0660862,0.364019,-0.113056,1.05407,0.387564,2.10346
-0.57559,-0.414546,-0.72932,-0.259805,-0.0597418,0.0434035,-0.0703486,-0.161349,-0.160382,-0.805758,-0.270108,-0.528135,0.0949566,-0.381731,0.256001,0.310427,1.31112,-0.122354,2.49474
-0.465721,-0.425277,-0.719137,0.0157308,0.122092,0.180585,0.0281827,0.03477,-0.254515,-0.459566,-0.379514,-0.378962,-0.0989002,0.0229971,0.356728,-0.00889821,1.27706,0.165867,0.974754
-0.406547,-0.289695,-0.49645,-0.158123,0.265712,0.0940029,0.247874,-0.119673,-0.390494,-0.486275,-0.264955,-0.510193,-0.120718,-0.230346,0.215228,0.0533673,1.402,-0.69264,1.96314
-0.667446,-0.497762,-0.682033,-0.146591,0.0234906,-0.183791,0.0269645,0.0173614,-0.462255,-0.484741,-0.0222115,-0.480812,0.198442,-0.0844606,0.186167,0.215808,0.74037,0.176839,2.11295
-0.35029,-0.650135,-0.693992,-0.0710661,-0.204563,-0.19108,0.26851,-0.157623,-0.0478192,-0.687606,-0.0143545,-0.248065,-0.223574,-0.21846,0.0303573,-0.0149532,1.24062,0.439062,1.74725
-0.680626,-0.536919,-0.732119,-0.258501,0.166947,-0.105061,-0.392261,-0.242442,-0.652848,-0.667864,-0.329856,-0.380067,0.241432,-0.139425,0.245493,0.418366,1.79606,-0.258575,2.48973
-0.340818,-0.249783,-0.597061,0.140238,0.0587677,-0.101188,-0.173338,0.0584054,-0.0682659,-0.6073,-0.00125048,-0.582118,0.17393,-0.447586,0.250659,0.136516,0.898603,-0.157908,1.65417
-0.365338,-0.167881,-0.543376,-0.100955,0.175637,0.314646,-0.0533786,-0.0321726,-0.238021,-0.537698,-0.355555,-0.544906,-0.0396783,-0.661663,0.327118,0.495466,0.974526,-0.424672,1.84534
-0.609188,-0.490787,-0.364473,-0.132577,0.24694,-0.256459,-0.451325,-0.212544,-0.285771,-0.660467,0.117207,-0.548608,-0.0288902,0.0151015,0.334503,0.174131,1.05337,-0.0277845,2.10781
