sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
233.029,225.235,217.567,209.671,203.314,200.294,199.699,208.756,224.181,241.051,247.818,260.76,266.793,267.665,267.483,269.312,271.398,280.466,299.864,338.41
114.932,112.147,111.223,110.128,108.063,106.189,102.689,105.141,110.884,116.77,115.516,122.721,127.25,129.586,131.943,135.337,135.75,138.379,145.377,166.786
232.559,228.837,225.474,222.131,220.331,221.097,224.621,240.312,264.997,291.959,305.534,321.514,325.921,320.289,311.197,304.158,299.653,304.268,318.65,356.73
230.745,227.343,224.751,220.27,215.773,214.673,215.475,225.537,242.799,263.155,274.113,289.029,291.891,285.32,276.696,271.259,268.011,273.738,291.545,331.248
270.908,261.784,252.958,242.489,232.557,226.575,225.357,236.105,254.104,272.038,277.639,288.364,291.784,291.02,291.192,293.429,293.142,298.129,311.072,339.817
137.041,136.328,136.375,135.117,133.187,131.909,131.649,138.451,148.473,157.631,155.604,162.708,166.022,166.261,165.473,165.72,163.751,165.557,170.624,182.681
174.004,167.517,160.998,153.758,146.756,143.414,142.286,150.589,163.999,176.655,179.026,186.384,188.034,185.543,182.733,182.547,183.022,190.108,199.567,210.676
238.661,223.23,208.723,196.795,190.263,188.932,188.538,195.853,206.173,218.04,220.304,229.92,233.327,233.985,236.105,241.249,245.081,251.048,264.04,294.594
290.23,277.016,263.762,250.728,237.835,227.874,221.616,227.779,246.437,270.461,285.331,303.524,310.117,306.603,301.106,298.924,298.96,306.504,323.574,365.4
176.755,173.386,171.712,170.274,168.822,167.619,164.894,168.149,175.66,183.773,183.961,193.359,197.962,198.487,199.464,204.988,215.267,236,266.22,312.29
191.29,182.83,174.382,165.224,157.224,151.681,147.271,149.541,156.091,164.456,165.646,177.187,184.002,187.349,187.049,184.98,179.661,176.744,177.449,185.567
315.629,297.958,282.119,266.45,252.368,242.152,235.543,241.822,256.908,274.544,282.873,298.524,308.243,314.042,319.798,326.943,333.771,349.797,380.797,433.009
