ut1_gear1_1996,ut1_gear1_1997,ut1_gear1_1998,ut1_gear1_1999,ut1_gear1_2000,ut1_gear1_2001,ut1_gear1_2002,ut1_gear1_2003,ut1_gear1_2004,ut1_gear1_2005,ut1_gear1_2006,ut1_gear1_2007,ut1_gear1_2008,ut1_gear1_2009,ut1_gear1_2010,ut1_gear1_2011,ut1_gear1_2012,ut1_gear1_2013,ut1_gear1_2014,ut1_gear2_1996,ut1_gear2_1997,ut1_gear2_1998,ut1_gear2_1999,ut1_gear2_2000,ut1_gear2_2001,ut1_gear2_2002,ut1_gear2_2003,ut1_gear2_2004,ut1_gear2_2005,ut1_gear2_2006,ut1_gear2_2007,ut1_gear2_2008,ut1_gear2_2009,ut1_gear2_2010,ut1_gear2_2011,ut1_gear2_2012,ut1_gear2_2013,ut1_gear2_2014,ut1_gear3_1996,ut1_gear3_1997,ut1_gear3_1998,ut1_gear3_1999,ut1_gear3_2000,ut1_gear3_2001,ut1_gear3_2002,ut1_gear3_2003,ut1_gear3_2004,ut1_gear3_2005,ut1_gear3_2006,ut1_gear3_2007,ut1_gear3_2008,ut1_gear3_2009,ut1_gear3_2010,ut1_gear3_2011,ut1_gear3_2012,ut1_gear3_2013,ut1_gear3_2014,ut1_gear4_1996,ut1_gear4_1997,ut1_gear4_1998,ut1_gear4_1999,ut1_gear4_2000,ut1_gear4_2001,ut1_gear4_2002,ut1_gear4_2003,ut1_gear4_2004,ut1_gear4_2005,ut1_gear4_2006,ut1_gear4_2007,ut1_gear4_2008,ut1_gear4_2009,ut1_gear4_2010,ut1_gear4_2011,ut1_gear4_2012,ut1_gear4_2013,ut1_gear4_2014,ut1_gear5_1996,ut1_gear5_1997,ut1_gear5_1998,ut1_gear5_1999,ut1_gear5_2000,ut1_gear5_2001,ut1_gear5_2002,ut1_gear5_2003,ut1_gear5_2004,ut1_gear5_2005,ut1_gear5_2006,ut1_gear5_2007,ut1_gear5_2008,ut1_gear5_2009,ut1_gear5_2010,ut1_gear5_2011,ut1_gear5_2012,ut1_gear5_2013,ut1_gear5_2014
0.0948594,0.0636997,0.0696967,0.0777953,0.0856804,0.130132,0.0932023,0.0911933,0.114338,0.250014,0.0882207,0.0767951,0.0595389,0.0350651,0.0199879,0.0582205,0.0655917,0.0919704,0.119389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13433,0.0944288,0.103057,0.130094,0.142079,0.217139,0.156666,0.143934,0.182516,0.366473,0.158115,0.133711,0.102906,0.0615037,0.0333301,0.095145,0.107257,0.153285,0.201203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0906471,0.0599609,0.067482,0.0756867,0.0845085,0.126294,0.0855305,0.0870452,0.103466,0.232217,0.0750711,0.060869,0.0505949,0.0276599,0.0166727,0.0509258,0.0552392,0.0798627,0.101422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.121746,0.0732271,0.0855085,0.101227,0.100604,0.148826,0.105533,0.0930555,0.115403,0.261909,0.0944374,0.0853592,0.0669594,0.0369214,0.0206966,0.0608479,0.068459,0.0976814,0.136158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0756744,0.0500356,0.0584912,0.0650979,0.0684451,0.104448,0.0797254,0.0729248,0.0906384,0.213588,0.0716969,0.0606131,0.0494047,0.0286118,0.0167211,0.054301,0.0538476,0.0812237,0.0948495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144842,0.0941153,0.0972536,0.107441,0.122066,0.16084,0.110574,0.10979,0.13703,0.313616,0.104222,0.0899467,0.0707999,0.0437575,0.0252091,0.0845339,0.0890512,0.114966,0.156396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154296,0.0978537,0.0980395,0.120589,0.11926,0.184648,0.135515,0.1388,0.176366,0.350439,0.135061,0.12565,0.102044,0.0580846,0.0299888,0.0971008,0.102709,0.152372,0.191315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0900405,0.0592525,0.0626971,0.0712912,0.0884049,0.148296,0.100104,0.114034,0.122697,0.263647,0.0882856,0.0863138,0.0643225,0.0377586,0.0219996,0.0643081,0.0793465,0.095813,0.142403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0744557,0.0510159,0.052974,0.067305,0.0732545,0.107527,0.086447,0.0763794,0.102387,0.232166,0.0863073,0.0717197,0.0586881,0.029077,0.0164655,0.0520787,0.0607317,0.0877525,0.0957872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105687,0.0704318,0.0772663,0.0861646,0.0902183,0.140517,0.103213,0.0932155,0.126115,0.269717,0.09979,0.0875399,0.0714052,0.0383393,0.0231797,0.0668569,0.0747008,0.113821,0.144439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
