Name,Longtail IOTC case study T. Carruthers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Catch,2849000,2825000,3104000,3371000,3614000,3649000,3326000,4704000,3749000,4532000,4544000,4458000,5340000,6136000,7199000,7781000,9123000,9437000,9474000,8887000,8248000,7037000,8432000,7679000,12859000,15027000,15315000,15782000,17346000,19541000,19010000,20287000,29811000,26264000,31392000,35850000,38147000,53221000,55950000,51474000,44448000,49813000,44413000,48238000,51112000,70252000,64759000,66500000,77806000,78555000,96315000,87671000,87260000,88443000,76392000,78498000,89081000,109851000,105260000,125601000,141115000,171496000,175459000,157093000,146599000,135920000
Abundance index,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.202647209,1.024367636,0.900382139,0.531558932,0.616991149,0.645679015,0.574908773,0.254901661,0.707403788,0.293251,0.34831651,0.369665623,0.133810088,0.133810088,0.133810088,0.133810088,0.133810088,0.133810088
Duration t,13,DCAC input: 2010-1998+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,95527,DCAC input: this average catch from 1998-2010 corresponding with the Nishida index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,0.11126296,DCAC input: This is the depletion from 1998-2010 inferred from Tom Nishidas cpue data - an xls file in this directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.6,from WPNT06-17 pdf: 0.38 ? M ? 0.82   (large CV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,0.66,Long tail supporting information puts this at 0.39 (0.29 – 0.54) which is ~ FMSY_M of 0.66. Martell and Walters 2009 think between 0.5 and 0.75 so this seems reasonable. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,0.35,Also a generic ratio for most bill fish and tunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,46435,MSY estimate is simply mean catches (note that in MSE testing most MPs perform very similarly even  if they use real MSY and average catches interchangeably - mostly because it is depletion information that determines management success: see Harford and Carruthers 2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,92100.23515,A simple calculation based on inputs above BMSY = MSY / (-ln(1-M*FMSY_M)) (but highly uncertain - see CV_BMSY below),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,40,Longtail Supporting Information.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 95% maturity,48,A rough guess based on the 10% slope seen in a large fraction stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,20,Longtail Supporting Information.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
