Name,LOT_Fleet_IOTC,,,,
nyears,66,,,,historical time series 1950 - 2015
Spat_targ,1,1,,,currently not used in DLMtool 4
LFS,65,75,,,65-75 subjective from figure 5 of supporting information pdf
L5,15,25,,,~20 Supporting information
Vmaxlen,0.5,0.99,,,no idea a principal source of uncertainty
Esd,0.05,0.1,,,Stable effort - little interannual variability in effort among years
EffYears,0,0.3,0.6,1,A generic increasing then more stable effort 
EffUpper,0,0.3,0.6,1,as above
EffLower,0,0.1,0.4,0.7,as above
qinc,-0.5,0.5,,,small annual changes in catchability - save large ones for robustness set
qcv,0.05,0.1,,,Interannual variability in catchability
isRel,0,,,,absolute length is used
