Name,Rougheye Rockfish BC,,,,,,,,,,
maxage,164,,,Age at <1% survival = -ln(0.01)/0.028,Maximum age for simulation calculations ,,,,164.4703638,,
R0,1000,,,MSE is scale-less so R0 is arbitrary,Unfished recruitment,,,,,,
M,0.028,0.042,,0.35 +/- 20%  Page 12 Assessment document,Instantaneous natural mortality rate ,,,0.028,0.042,,
Msd,0.05,0.2,,"up to +/-  40%, ie moderate interannual variability",CV controlling degree of inter-annual variability in M among years (e.g. 0.1 is a CI of ~ 0.8 - 1.2),,,,,,
Mgrad,-0.1,0.1,,gradients in M are minor but consider robustness given increasing predators,% yr-1 slope in natural mortality rate,,,,,,
h,0.45,0.8,,Expanded range based on canary rockfish (0.45-0.7),Steepness of the stock recruitment,,,,,,
SRrel,1,,,"Beverton-Holt stock-recruitment, as canary rockfish",Functional form of the stock-recruitment relationship,,,,,,
Linf,53.38,56.12,,"Female growth, Section 3.4, page 11. 54.75 +/- 2.5% ",von B. Linf,,,,,53.38125,56.11875
K,0.0769,0.094,,"Female growth, Section 3.4, page 11. 0.085479 +/- 10% ",von B. K,,,,,0.0769311,0.0940269
t0,-0.531,-0.531,,"Female growth, Section 3.4, page 11.",Theoretical age at length zero,,,,,52.3236491,56.53305495
Ksd,0.2,0.3,,Minor changes in growth rate K among years (consistent with stock assessment assumptions),CV controlling degree of interannual variability in von. B. k,,,,,,
Kgrad,0,0,,Minor possible future trajectory in growth rate K (consistent with stock assessment assumptions),% yr-1 slope in growth rate K,,,,,3.941337583,2.970045808
Linfsd,0.05,0.1,,Minor changes in maximum length among years (consistent with stock assessment assumptions),CV controlling degree of interannual variability in von. B. k,,,,,,
Linfgrad,0,0,,Minor possible future trajectory in Linf (consistent with stock assessment assumptions),% yr-1 slope in maximum length,,,,,,
recgrad,-0.1,0.1,,"R scripts 'Some R analyses.R', data from Fig J.13.",% yr-1 gradient in recruitment,,,,,,
a,2.81E-05,,,"Figure 1, males and females",W=aLb,,,,,,
b,2.9,,,"Figure 1, males and females",W=aLb,,,,,,
D,NA,NA,,"Not specified, to be filled by LC_SRA",Current SSB relative to SSB0,,,,,,
L50,39.51,48.29,,"Figure 29, page 37 of the assessment",Length at 50% maturity,,,,,39.51,48.29
L50_95,2.58,3.45,,"Figure 29, page 37 of the assessment",Length interval between 50% and 95% maturity,,,,,2.583872866,3.445163822
Perr,0.08,0.15,,"Figure 5 page 14, Figure 4 page 13","Process error, sigma R",,,,,,
AC,0.6,0.9,,As Canary Rockfish with added uncertainty,Lag 1 autocorrelation,,,,,,
Period,,,,"Not specified, no recruitment regime shifts",The duration of recruitment regime shifts,,,,,,
Amplitude,,,,"Not specified, no recruitment regime shifts",The magnitude of recruitment regime  shifts,,,,,,
Size_area_1,0.1,0.1,,Currently not used in v3.2.2,Size of area 1,,,,,,
Frac_area_1,0.1,0.1,,A potential 10% of stock biomass is unavailable to fishing,Fraction of habitat in area 1,,,,,,
Prob_staying,0.85,0.95,,Moderate mixing,Probability of staying in area 1,,,,,,
Source,"Stock assessment for Canary rockfish (Sebastes pinniger) in British Columbia waters. Stanley R. Starr P. Olsen N. 
Sustainable Harvest Levels of Anadromous Arctic Char
from the Hornaday River, Northwest Territories",,,,,,,,,,
