rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.308163,0.257466,0.425198,0.499649,0.457637,0.417431,0.418389,0.339938,0.281654,0.392316,0.323417,0.455355,0.39876,0.571635,0.596273,1.6214,0.448337,3.44835
0.0865747,0.0911998,0.128332,0.152675,0.125725,0.146441,0.119725,0.0992162,0.0759169,0.144629,0.0843179,0.13387,0.144713,0.105814,0.155719,0.908323,0.133563,2.53193
0.380651,0.297865,0.605154,0.75875,0.63768,0.557505,0.589051,0.42692,0.333941,0.390829,0.369728,0.590792,0.480022,0.578778,0.863217,1.02603,0.19616,10.0876
0.324015,0.251508,0.364172,0.464596,0.479421,0.489859,0.34839,0.228018,0.203032,0.296731,0.292139,0.306056,0.451386,0.465179,0.268027,1.89413,0.443108,3.81515
0.295789,0.36304,0.625214,0.414608,0.651968,0.411365,0.477958,0.343455,0.33451,0.555223,0.368153,0.402633,0.414959,0.72361,0.552195,1.26687,0.325744,3.66724
0.113255,0.134757,0.216153,0.20481,0.184782,0.145459,0.16844,0.158343,0.0753781,0.153581,0.103739,0.201081,0.177999,0.164681,0.128823,0.633017,0.194448,1.73626
0.168596,0.163923,0.335663,0.351864,0.233413,0.246594,0.261158,0.184895,0.148154,0.214189,0.138173,0.311588,0.343276,0.351967,0.224819,0.405567,0.204396,1.57673
0.311315,0.253482,0.376318,0.445946,0.427137,0.394991,0.381998,0.26496,0.303598,0.380971,0.411068,0.3819,0.418679,0.251233,0.796628,1.26447,0.427715,4.87305
0.30633,0.227559,0.519986,0.643602,0.627669,0.555965,0.588754,0.332253,0.29656,0.450143,0.370678,0.597229,0.478535,0.532874,0.633333,1.877,0.261076,6.77397
0.209151,0.162952,0.284822,0.237694,0.345129,0.243852,0.268686,0.228602,0.135785,0.219543,0.231186,0.440904,0.405106,0.343846,0.774453,1.22353,0.206091,2.76087
0.166815,0.158674,0.2335,0.255114,0.280002,0.271417,0.242997,0.262365,0.141781,0.215119,0.142014,0.217677,0.189477,0.215289,0.316214,0.528093,0.501869,1.08111
0.4284,0.443249,0.574659,0.8071,0.665023,0.70462,0.764322,0.441193,0.650315,0.843386,0.438902,0.687294,0.898664,0.909789,1.44597,1.85158,0.903525,5.33037
0.651261,0.422464,0.851467,0.868363,0.702547,0.748169,0.605199,0.605367,0.59109,0.774867,0.599118,1.2984,0.700312,1.04068,1.62476,3.94822,0.643896,15.2097
0.351587,0.273405,0.447628,0.609888,0.477209,0.459972,0.518745,0.455666,0.296091,0.345011,0.43288,0.464325,0.483797,0.488519,1.04253,1.97325,0.487873,2.94977
0.154648,0.105411,0.186585,0.263784,0.243376,0.185288,0.194251,0.197901,0.160087,0.13725,0.16162,0.153588,0.187917,0.345174,0.292854,0.708319,0.267676,1.91136
0.201235,0.228116,0.277115,0.392874,0.337443,0.281438,0.254219,0.273996,0.232421,0.26155,0.25862,0.294819,0.303766,0.296756,0.431767,0.998015,0.263261,2.16548
0.252121,0.214959,0.414843,0.513325,0.409552,0.31158,0.424711,0.340881,0.237745,0.408243,0.329841,0.539421,0.520115,0.400361,0.534224,2.99949,0.539518,2.72385
0.107599,0.115679,0.214362,0.209288,0.16292,0.183148,0.205164,0.112953,0.129661,0.124416,0.107764,0.303528,0.187258,0.229505,0.206753,0.774339,0.144031,2.42925
0.369236,0.294574,0.576795,0.615427,0.61323,0.60997,0.504103,0.486065,0.349531,0.539938,0.468514,0.646347,0.552212,1.03682,0.787685,1.80987,0.601748,5.62425
0.347808,0.307191,0.527753,0.638597,0.542991,0.560931,0.410626,0.371819,0.288046,0.528343,0.276245,0.473621,0.426919,0.656486,0.680108,1.20945,0.37555,2.55364
0.231639,0.233519,0.470078,0.490265,0.382935,0.454481,0.354291,0.33293,0.339054,0.522107,0.353242,0.249825,0.405328,0.442318,0.400125,1.87268,0.621794,2.76927
0.0979036,0.112552,0.16787,0.192855,0.173257,0.131745,0.176728,0.0787658,0.114699,0.146718,0.0815338,0.147554,0.111278,0.133699,0.210117,0.413096,0.243874,0.848965
0.576912,0.402129,0.762267,0.706256,0.911804,0.938588,0.666918,0.416276,0.4949,0.994678,0.605587,0.918916,0.710295,1.90822,0.545002,2.097,1.2683,3.31588
0.259044,0.252349,0.357677,0.371798,0.383855,0.320716,0.360256,0.273742,0.260854,0.375694,0.537338,0.436753,0.41383,0.573747,0.647016,1.9714,0.395788,7.06273
0.15162,0.0878703,0.106753,0.171973,0.18666,0.141712,0.182421,0.0994118,0.107455,0.103401,0.108197,0.11428,0.111681,0.24966,0.191678,0.727429,0.133038,1.7398
